País,Ciudad1,Lat1,Long1,Ciudad2,Lat2,Long2,Ciudad3,Lat3,Long3,Ciudad4,Lat4,Long4,Ciudad5,Lat5,Long5,Ciudad6,Lat6,Long6,Ciudad7,Lat7,Long7,Ciudad8,Lat8,Long8,Ciudad9,Lat9,Long9,Ciudad10,Lat10,Long10
Iraq,Bagdad,33.3152,44.3661,Erbil,36.1900,44.0094,Basora,30.5085,47.7804,Najaf,32.0114,44.3112,Karbala,32.6160,44.0249,Sulaymaniyah,35.5610,45.4408,Mosul,36.3497,43.1570,Kirkuk,35.4681,44.3921,Duhok,36.8676,42.9910,Samarra,34.1959,43.8755
Ireland,Dublín,53.3498,-6.2603,Cork,51.8985,-8.4756,Galway,53.2707,-9.0568,Limerick,52.6638,-8.6267,Kilkenny,52.6541,-7.2523,Waterford,52.2593,-7.1101,Drogheda,53.7179,-6.3561,Tralee,52.2704,-9.7026,Sligo,54.2697,-8.4694,Killarney,52.0597,-9.5086
Israel,Jerusalén,31.7683,35.2137,Tel Aviv,32.0853,34.7818,Haifa,32.7940,34.9896,Eilat,29.5577,34.9519,Beersheba,31.2518,34.7913,Netanya,32.3215,34.8532,Herzliya,32.1663,34.8368,Acre,32.9230,35.0839,Tiberias,32.7940,35.5301,Ashdod,31.8014,34.6431
Italy,Roma,41.9028,12.4964,Venecia,45.4408,12.3155,Florencia,43.7696,11.2558,Milán,45.4642,9.1900,Nápoles,40.8518,14.2681,Pisa,43.7228,10.4017,Turín,45.0703,7.6869,Bolonia,44.4949,11.3426,Génova,44.4056,8.9463,Verona,45.4384,10.9916
Jamaica,Kington,17.9712,-76.7936,Montego Bay,18.4762,-77.8939,Ocho Rios,18.4056,-77.1048,Negril,18.2763,-78.3472,Port Antonio,18.1769,-76.4502,Mandeville,18.0417,-77.5071,Spanish Town,17.9911,-76.9578,Savanna-la-Mar,18.2194,-78.1338,May Pen,17.9645,-77.2417,Falmouth,18.4885,-77.6587
Japan,Tokio,35.6762,139.6503,Kioto,35.0116,135.7681,Osaka,34.6937,135.5023,Yokohama,35.4437,139.6380,Nagoya,35.1815,136.9066,Sapporo,43.0618,141.3545,Fukuoka,33.5904,130.4017,Hiroshima,34.3853,132.4553,Kobe,34.6901,135.1955,Nara,34.6851,135.8048
Jordan,Ammán,31.9454,35.9284,Petra,30.3285,35.4444,Aqaba,29.5267,35.0078,Irbid,32.5566,35.8469,Jerash,32.2722,35.8910,Madaba,31.7166,35.7932,Zarqa,32.0617,36.0959,As-Salt,32.0392,35.7275,Karak,31.1855,35.7040,Ma'an,30.1962,35.7340
Kazakhstan,Almaty,43.2220,76.8512,Nur-Sultan,51.1694,71.4491,Shymkent,42.3417,69.5901,Karagandy,49.8028,73.0994,Aktau,43.6411,51.1985,Oral,51.2279,51.3865,Pavlodar,52.2871,76.9674,Kostanay,53.2144,63.6246,Taldykorgan,45.0156,78.3739,Kyzylorda,44.8488,65.4823
Kenya,Nairobi,-1.2864,36.8172,Mombasa,-4.0435,39.6682,Kisumu,-0.1022,34.7617,Nakuru,-0.2833,36.0674,Eldoret,0.5143,35.2698,Malindi,-3.2192,40.1160,Naivasha,-0.7170,36.4310,Thika,-1.0333,37.0707,Kitale,1.0004,35.0053,Garissa,-0.4528,39.6460
Kiribati,South Tarawa,-1.4438,173.0380,Betio,-1.3618,172.9331,Bikenibeu,-1.3741,173.1291,Eita,-1.3940,173.1200,Bonriki,-1.3846,173.1520,Buariki,-1.4683,173.0172,Nabeina,-1.4965,173.0097,Tanaea,-1.4933,173.0142,Buariki Village,-1.5306,172.9876,Abarao,-1.4622,173.0364
Democratic People's Republic of Korea,Pyongyang,39.0392,125.7625,Kaesong,37.9708,126.5544,Hamhung,39.9183,127.5364,Nampo,38.7291,125.4057,Wonsan,39.1575,127.4276,Chongjin,41.7667,129.7997,Sinuiju,40.1009,124.3980,Rason,42.3430,130.3964,Haeju,38.0394,125.7147,Songnim,38.7543,125.6455
Republic of Korea,Seúl,37.5665,126.9780,Busan,35.1796,129.0756,Incheon,37.4563,126.7052,Daegu,35.8714,128.6014,Daejeon,36.3504,127.3845,Gwangju,35.1595,126.8526,Suwon,37.2636,127.0286,Changwon,35.2281,128.6811,Ulsan,35.5384,129.3114,Jeonju,35.8242,127.1480
Kuwait,Kuwait City,29.3759,47.9774,Hawally,29.3339,48.0285,Salmiya,29.3335,48.0787,Mubarak Al-Kabeer,29.2006,48.0034,Al Ahmadi,29.0768,48.0838,Al Farwaniyah,29.2775,47.9586,Jahra,29.3375,47.6581,Al Fintas,29.1736,48.1217,Al Mangaf,29.0969,48.1325,Al Jahra,29.3375,47.6581
Kyrgyzstan,Bishkek,42.8746,74.5698,Osh,40.5134,72.8161,Jalal-Abad,40.9333,73.0000,Tokmok,42.8403,75.3020,Karakol,42.4919,78.3936,Kant,42.8916,74.8509,Uzgen,40.7691,73.2949,Balykchy,42.4601,76.1876,Naryn,41.4287,76.0044,Cholpon-Ata,42.6483,77.0832
Lao People's Democratic Republic,Vientián,17.9757,102.6331,Luang Prabang,19.8836,102.1347,Pakse,15.1182,105.7990,Thakhek,17.4108,104.8317,Savannakhet,16.5539,104.7501,Muang Xay,20.6891,101.9853,Phonsavan,19.4580,103.2141,Sam Neua,20.4156,104.0484,Paksan,18.2350,103.7340,Muang Phon-Hong,18.4987,102.4157
Latvia,Riga,56.9496,24.1052,Daugavpils,55.8714,26.5166,Liepāja,56.5057,21.0108,Jūrmala,56.9680,23.7709,Jelgava,56.6520,23.7196,Ventspils,57.3906,21.5701,Rēzekne,56.5103,27.3402,Valmiera,57.5394,25.4260,Ogre,56.8164,24.6014,Cēsis,57.3119,25.2738
Lebanon,Beirut,33.8938,35.5018,Tripoli,34.4331,35.8448,Byblos,34.1215,35.6482,Tyre,33.2737,35.2033,Baalbek,34.0058,36.2181,Zahlé,33.8465,35.9020,Jounieh,33.9787,35.6343,Saida,33.5600,35.3763,Ehden,34.2983,35.9807,Bcharré,34.2508,36.0108
Lesotho,Maseru,-29.3158,27.4869,Teyateyaneng,-29.1500,27.7500,Mohale's Hoek,-30.1535,27.4767,Quthing,-30.4000,27.7167,Mafeteng,-29.8224,27.2407,Leribe,-28.8718,28.0456,Mokhotlong,-29.2881,29.0686,Butha-Buthe,-28.7679,28.2420,Qacha's Nek,-30.1155,28.6851,Maputsoe,-28.8867,27.8996
Liberia,Monrovia,6.3156,-10.8074,Gbarnga,6.9950,-9.4720,Kakata,6.5250,-10.3533,Bensonville,6.4478,-10.6125,Zwedru,6.0670,-8.1350,Harper,4.3750,-7.7167,Buchanan,5.8678,-10.0511,Ganta,7.3027,-8.5304,Yekepa,7.5829,-8.5370,Voinjama,8.4214,-9.7476
Libya,Tripoli,32.8872,13.1913,Bengasi,32.1161,20.0667,Misurata,32.3754,15.0925,Zawiya,32.7571,12.7277,Zliten,32.4631,14.5687,Al Khums,32.6486,14.2619,Al Bayda,32.7592,21.7551,Tobruk,32.0748,23.9648,Derna,32.7648,22.6394, Sabha,27.0333,14.4333
Liechtenstein,Vaduz,47.1410,9.5209,Schaan,47.1642,9.5086,Balzers,47.0657,9.5047,Triesen,47.1022,9.5161,Eschen,47.2088,9.5228,Maienfeld,47.0033,9.5294,Ruggell,47.2401,9.5262,Gamprin,47.2197,9.5104,Schellenberg,47.2321,9.5470,Triesenberg,47.1177,9.5431
Lithuania,Vilna,54.6872,25.2797,Kaunas,54.8985,23.9036,Klaipėda,55.7033,21.1443,Šiauliai,55.9333,23.3167,Panevėžys,55.7333,24.3500,Alytus,54.4000,24.0500,Marijampolė,54.5550,23.3495,Mažeikiai,56.3167,22.3333,Utena,55.5000,25.6000,Jonava,55.0833,24.2833
Luxembourg,Luxemburgo,49.6117,6.1319,Esch-sur-Alzette,49.4958,5.9806,Dudelange,49.4800,6.0800,Differdange,49.5200,5.8917,Ettelbruck,49.8475,6.1014,Diekirch,49.8675,6.1578,Grevenmacher,49.6769,6.4423,Rumelange,49.4610,6.0310,Echternach,49.8131,6.4208,Remich,49.5450,6.3664
Madagascar,Antananarivo,-18.8792,47.5079,Toamasina,-18.1496,49.4023,Antsirabe,-19.8659,47.0333,Antsiranana,-12.2833,49.3000,Fianarantsoa,-21.4530,47.0857,Toliara,-23.3500,43.6667,Mahajanga,-15.7161,46.3167,Ambovombe,-25.1785,46.0870,Ambanja,-13.6833,48.4500,Mananjary,-21.2300,48.3440
Malawi,Lilongüe,-13.9833,33.7833,Blantyre,-15.7861,35.0058,Mzuzu,-11.4655,34.0207,Zomba,-15.3833,35.3333,Mangochi,-14.4781,35.2644,Karonga,-9.9333,33.9333,Salima,-13.7804,34.4587,Balaka,-14.9794,34.9562,Nkhotakota,-12.9333,34.3000,Kasungu,-13.0333,33.4833
Malaysia,Kuala Lumpur,3.1390,101.6869,George Town,5.4141,100.3288,Ipoh,4.6094,101.1058,Johor Bahru,1.4927,103.7414,Malaca,2.1896,102.2501,Kota Kinabalu,5.9804,116.0735,Shah Alam,3.0738,101.5183,Kuantan,3.8078,103.3260,Kuching,1.5533,110.3593,Petaling Jaya,3.0833,101.6500
Maldives,Malé,4.1755,73.5093,Addu City,-0.6110,73.1016,Fuvahmulah,-0.2988,73.4243,Hithadhoo,-0.5903,73.0870,Naifaru,5.4440,73.3652,Thinadhoo,0.5301,72.9997,Eydhafushi,5.1033,73.0702,Dhidhdhoo,6.8875,72.1400,Manadhoo,5.7669,73.4125,Viligili,0.7593,73.4326
Mali,Bamako,12.6392,-8.0029,Sikasso,11.3173,-5.6660,Segou,13.4317,-6.2157,Mopti,14.4940,-4.1940,Koutiala,12.3917,-5.4697,Gao,16.2717,-0.0447,Kayes,14.4469,-11.4393,Markala,13.7021,-6.0681,Bafoulabe,13.8100,-10.8327,Tombuctú,16.7666,-3.0026
Malta,Valletta,35.8997,14.5147,Birgu,35.8872,14.5183,Birkirkara,35.8972,14.4617,Gozo,36.0440,14.2522,Mdina,35.8889,14.4031,Sliema,35.9125,14.5056,Senglea,35.8875,14.5167,St. Julian's,35.9181,14.4883,Paola,35.8761,14.5042,Floriana,35.8967,14.5117
Marshall Islands,Majuro,7.1164,171.1850,Ebeye,8.7815,167.7371,Arno,7.0645,171.6191,Jaluit,5.9208,169.6255,Mejit,10.2831,170.8648,Maloelap,8.6997,171.2132,Kili,5.6446,169.1197,Utirik,11.2224,169.8521,Lib Island,8.3167,167.3833,Woja,7.6756,168.2555
Mauritania,Nouakchott,18.0735,-15.9582,Nouadhibou,20.9310,-17.0347,Kiffa,16.6165,-11.4060,Kaédi,16.1513,-13.5037,Rosso,16.5138,-15.8048,Atar,20.5186,-13.0495,Zouérat,22.7354,-12.4840,Néma,16.6161,-7.2589,Tidjikja,18.5565,-11.4167,Boutilimit,17.5333,-14.6667
Mauritius,Port Louis,-20.1609,57.5012,Grand Baie,-20.0175,57.5724,Flic en Flac,-20.2742,57.3643,Curepipe,-20.3147,57.5209,Quatre Bornes,-20.2638,57.4740,Mahebourg,-20.4081,57.7008,Beau Bassin-Rose Hill,-20.2221,57.4737,Vacoas-Phoenix,-20.3000,57.4700,Trou-aux-Biches,-20.0412,57.5524,Bel Ombre,-20.5030,57.4131
Mexico,Ciudad de México,19.4326,-99.1332,Cancún,21.1619,-86.8515,Guadalajara,20.6597,-103.3496,Monterrey,25.6866,-100.3161,Playa del Carmen,20.6296,-87.0739,Puebla,19.0414,-98.2063,Tulum,20.2114,-87.4654,Cabo San Lucas,22.8905,-109.9167,Mérida,20.9674,-89.5926,Puerto Vallarta,20.6534,-105.2253
Micronesia (Federated States of),Palikir,6.9248,158.1611,Kolonia,6.9646,158.2061,Tofol,5.3245,163.0078,Kolonia,6.9646,158.2061,Lele,5.3304,162.9577,Palikir,6.9248,158.1611,Lelu,5.3304,163.0272,Tafunsak,5.3744,162.9645,Kolonia,6.9646,158.2061,Tofol,5.3245,163.0078
Republic of Moldova,Chisináu,47.0105,28.8638,Tiraspol,46.8427,29.6290,Bălți,47.7615,27.9289,Bender,46.8319,29.4717,Rîbnița,47.7693,29.0104,Orhei,47.3847,28.8226,Cahul,45.9045,28.1994,Ungheni,47.2178,27.8014,Soroca,48.1551,28.2849,Edineț,48.1684,27.3032
Monaco,Monte Carlo,43.7384,7.4270,Monaco-Ville,43.7333,7.4167,La Condamine,43.7330,7.4200,Fontvieille,43.7320,7.4167,Les Révoires,43.7340,7.4167,Moneghetti,43.7310,7.4190,Larvotto,43.7400,7.4300,Saint Roman,43.7450,7.4380,Jardin Exotique,43.7322,7.4153,Spélugues,43.7392,7.4265
Mongolia,Ulán Bator,47.8864,106.9057,Erdenet,49.0510,104.0351,Darchán,49.4868,105.9220,Mörön,49.6341,100.1629,Choibalsan,48.0783,114.5462,Ölgii,48.9683,89.9678,Bayankhongor,46.1928,100.7172,Baruun-Urt,46.6806,113.2794,Ulaangom,49.9811,92.0664,Mandalgovi,45.7625,106.2708
Montenegro,Podgorica,42.4418,19.2662,Herceg Novi,42.4528,18.5314,Budva,42.2864,18.8413,Kotor,42.4247,18.7712,Bar,42.0977,19.0977,Cetinje,42.3907,18.9110,Tivat,42.4364,18.6977,Ulcinj,41.9291,19.2241,Bijelo Polje,43.0386,19.7472,Pljevlja,43.3563,19.3543
Morocco,Marrakech,31.6295,-7.9811,Casablanca,33.5731,-7.5898,Fes,34.0181,-5.0078,Tánger,35.7595,-5.8340,Rabat,34.0209,-6.8416,Agadir,30.4278,-9.5981,Meknes,33.8959,-5.5540,Chefchaouen,35.1688,-5.2636,Ouarzazate,30.9189,-6.8934,Essaouira,31.5085,-9.7595
Mozambique,Maputo,-25.9692,32.5732,Beira,-19.8333,34.8500,Nampula,-15.1165,39.2666,Nacala,-14.5635,40.6854,Tete,-16.1564,33.5869,Quelimane,-17.8786,36.8879,Chimoio,-19.1164,33.4833,Pemba,-12.9730,40.5178,Lichinga,-13.3122,35.2403,Xai-Xai,-25.0519,33.6442
Myanmar,Yangon,16.8661,96.1951,Mandalay,21.9162,96.0824,Naypyidaw,19.7633,96.0785,Bagan,21.1717,94.8585,Inle Lake,20.5667,96.9167,Toungoo,18.9244,96.4336,Hpa-An,16.8825,97.6408,Mawlamyine,16.4918,97.6258,Pyin Oo Lwin,22.0358,96.4583,Dawei,14.0900,98.2000
Namibia,Windhoek,-22.5609,17.0658,Swakopmund,-22.6820,14.5272,Walvis Bay,-22.9576,14.5052,Otjiwarongo,-20.4637,16.6510,Rundu,-17.9208,19.7654,Oshakati,-17.7877,15.7044,Keetmanshoop,-26.5766,18.1313,Tsumeb,-19.2337,17.7180,Lüderitz,-26.6481,15.1591,Grootfontein,-19.5666,18.1166
Nauru,Yaren,-0.5477,166.9209,Baiti,-0.5346,166.9122,Boe,-0.5456,166.9125,Anabar,-0.5127,166.9421,Anibare,-0.5191,166.9496,Denigomodu,-0.5236,166.9084,Ijuw,-0.5156,166.9421,Ewa,-0.5110,166.9203,Anetan,-0.5031,166.9237,Uaboe,-0.5048,166.9171
Nepal,Kathmandu,27.7172,85.3240,Pokhara,28.2096,83.9856,Patan,27.6782,85.3140,Bhaktapur,27.6725,85.4298,Biratnagar,26.4536,87.2718,Bharatpur,27.6766,84.4401,Janakpur,26.7288,85.9248,Dharan,26.8126,87.2832,Butwal,27.6949,83.4488,Nepalgunj,28.0500,81.6167
Netherlands,Ámsterdam,52.3676,4.9041,Rotterdam,51.9225,4.4792,La Haya,52.0705,4.3007,Utrecht,52.0907,5.1214,Eindhoven,51.4416,5.4697,Haarlem,52.3874,4.6462,Arnhem,51.9851,5.8987,Groningen,53.2194,6.5665,Maastricht,50.8514,5.6910,Nijmegen,51.8420,5.8528
New Zealand,Auckland,-36.8485,174.7633,Wellington,-41.2865,174.7762,Christchurch,-43.5321,172.6362,Queenstown,-45.0312,168.6626,Rotorua,-38.1368,176.2497,Tauranga,-37.6878,176.1651,Hamilton,-37.7870,175.2793,Napier,-39.4928,176.9120,Dunedin,-45.8788,170.5028,Nelson,-41.2706,173.2840
Nicaragua,Managua,12.1364,-86.2514,León,12.4379,-86.8780,Granada,11.9299,-85.9595,Masaya,11.9740,-86.0942,Estelí,13.0857,-86.3544,Matagalpa,12.9256,-85.9172,Chinandega,12.6299,-87.1314,Jinotega,13.0914,-86.0024,Rivas,11.4375,-85.8267,Bluefields,12.0004,-83.7645
Niger,Niamey,13.5126,2.1128,Zinder,13.8072,8.9881,Maradi,13.4917,7.0965,Tahoua,14.8888,5.2692,Agadez,16.9733,7.9911,Diffa,13.3154,12.6113,Dosso,13.0490,3.1948,Gaya,11.8833,3.4500,Arlit,18.7369,7.3684,Dogondoutchi,13.6370,4.0314
Nigeria,Lagos,6.5244,3.3792,Abuja,9.0765,7.3986,Kano,12.0022,8.5910,Ibadan,7.3775,3.9470,Port Harcourt,4.8156,7.0498,Benin City,6.3350,5.6037,Maiduguri,11.8333,13.1500,Zaria,11.0855,7.7199,Aba,5.1066,7.3667,Kaduna,10.5105,7.4165
Norway,Oslo,59.9139,10.7522,Bergen,60.3913,5.3221,Trondheim,63.4305,10.3951,Stavanger,58.9690,5.7331,Tromsø,69.6492,18.9553,Ålesund,62.4722,6.1549,Haugesund,59.4138,5.2680,Sandnes,58.8465,5.6998,Kristiansand,58.1467,7.9956,Drammen,59.7439,10.2045
Oman,Muscat,23.5880,58.3829,Salalah,17.0194,54.0897,Nizwa,22.9333,57.5333,Sohar,24.3471,56.7094,Sur,22.5667,59.5289,Seeb,23.6703,58.1826,Ibri,23.2255,56.5167,Khasab,26.1799,56.2477,Bahla,22.9604,57.2980,Mutrah,23.6150,58.5906
Pakistan,Karachi,24.8607,67.0011,Lahore,31.5497,74.3436,Islamabad,33.6844,73.0479,Rawalpindi,33.5651,73.0169,Faisalabad,31.4504,73.1350,Peshawar,34.0151,71.5249,Multan,30.1575,71.5249,Gujranwala,32.1877,74.1945,Sialkot,32.4945,74.5229,Quetta,30.1798,66.9750
Palau,Ngerulmud,7.5004,134.6231,Koror,7.3426,134.4797,Melekeok,7.4882,134.6262,Ngardmau,7.5801,134.5458,Ngaraard,7.6534,134.6372,Airai,7.3571,134.5487,Ngchesar,7.4712,134.5750,Ngarchelong,7.6979,134.6436,Ngatpang,7.5092,134.5432,Ngaremlengui,7.5333,134.5367
Panama,Ciudad de Panamá,8.9833,-79.5167,Colón,9.3592,-79.9014,David,8.4333,-82.4333,La Chorrera,8.8803,-79.7834,Santiago de Veraguas,8.1000,-80.9833,Chitré,7.9667,-80.4333,Penonomé,8.5167,-80.3667,Changuinola,9.4333,-82.5167,Puerto Armuelles,8.2833,-82.8667,Almirante,9.3000,-82.4000
Papua New Guinea,Port Moresby,-9.4780,147.1500,Lae,-6.7210,146.9840,Mt. Hagen,-5.8650,144.2205,Goroka,-6.0833,145.3878,Madang,-5.2225,145.7962,Kokopo,-4.3480,152.2630,Wewak,-3.5461,143.6268,Kimbe,-5.5504,150.1429,Popondetta,-8.7676,148.2317,Arawa,-6.2264,155.5644
Paraguay,Asunción,-25.2637,-57.5759,Ciudad del Este,-25.5095,-54.6111,Encarnación,-27.3375,-55.8667,San Lorenzo,-25.3397,-57.5088,Luque,-25.2753,-57.5278,Caaguazú,-25.4625,-56.0148,Pedro Juan Caballero,-22.5471,-55.7336,Limpio,-25.1864,-57.5350,Coronel Oviedo,-25.4475,-56.4428,Caazapá,-26.1970,-56.3681
Peru,Lima,-12.0464,-77.0428,Cusco,-13.5320,-71.9675,Arequipa,-16.4090,-71.5375,Trujillo,-8.1110,-79.0288,Iquitos,-3.7437,-73.2516,Chiclayo,-6.7766,-79.8440,Puno,-15.8402,-70.0219,Pucallpa,-8.3791,-74.5539,Huaraz,-9.5278,-77.5278,Piura,-5.1945,-80.6328
Philippines,Manila,14.5995,120.9842,Cebu City,10.3157,123.8854,Davao City,7.1907,125.4553,Quezon City,14.6760,121.0437,Zamboanga City,6.9214,122.0790,Taguig,14.5131,121.0420,Antipolo,14.6256,121.1245,Pasig,14.5864,121.0614,Cagayan de Oro,8.4542,124.6319,Makati,14.5547,121.0244
Poland,Varsovia,52.2297,21.0122,Cracovia,50.0647,19.9450,Wrocław,51.1079,17.0385,Łódź,51.7592,19.4560,Poznań,52.4064,16.9252,Gdańsk,54.3520,18.6466,Szczecin,53.4289,14.5530,Bydgoszcz,53.1235,18.0084,Lublin,51.2465,22.5684,Katowice,50.2649,19.0238
Portugal,Lisboa,38.7167,-9.1390,Porto,41.1579,-8.6291,Faro,37.0194,-7.9308,Coímbra,40.2056,-8.4196,Braga,41.5454,-8.4265,Aveiro,40.6405,-8.6538,Funchal,32.6669,-16.9241,Sintra,38.8000,-9.3833,Vila Nova de Gaia,41.1242,-8.6121,Guimarães,41.4440,-8.2956
Qatar,Doha,25.2760,51.2215,Al Rayyan,25.2919,51.4244,Umm Salal Muhammad,25.4167,51.4000,Al Wakrah,25.1671,51.6034,Al Khor,25.6840,51.5050,Madinat ash Shamal,26.1304,51.2000,Al Wakrah,25.1709,51.6039,Dukhan,25.4295,50.7859,Al Wukayr,25.2048,51.5351,Al Ruwais,26.1335,51.2167
Romania,Bucarest,44.4268,26.1025,Cluj-Napoca,46.7700,23.5900,Timișoara,45.7494,21.2272,Iași,47.1585,27.6014,Constanța,44.1598,28.6348,Craiova,44.3181,23.8000,Brașov,45.6579,25.6012,Galați,45.4353,28.0076,Ploiești,44.9364,26.0325,Oradea,47.0722,21.9212
Russian Federation,Moscú,55.7558,37.6176,Saint Petersburg,59.9343,30.3351,Novosibirsk,55.0084,82.9357,Yekaterinburg,56.8389,60.6057,Nizhny Novgorod,56.2965,43.9361,Kazan,55.8304,49.0661,Chelyabinsk,55.1644,61.4368,Samara,53.2415,50.2212,Omsk,54.9885,73.3242,Ufa,54.7388,55.9721
Rwanda,Kigali,-1.9706,30.1044,Butare,-2.5987,29.7372,Gisenyi,-1.7028,29.2561,Byumba,-1.5720,30.0671,Nyagatare,-1.3082,30.3217,Gitarama,-2.0744,29.7569,Ruhengeri,-1.4999,29.6349,Cyangugu,-2.4776,28.9073,Kibuye,-2.0608,29.3484,Rwamagana,-1.9487,30.4347
Saint Kitts and Nevis,Basseterre,17.3026,-62.7177,Charlestown,17.1366,-62.6252,Dieppe Bay Town,17.4189,-62.8041,Mansion,17.3586,-62.7792,Sandy Point Town,17.3614,-62.8453,Cayon,17.3487,-62.7321,Monkey Hill,17.3026,-62.7159,Half Way Tree,17.3297,-62.7703,Trinity,17.3194,-62.7483,St. Pauls,17.4042,-62.8370
Saint Lucia,Castries,14.0101,-60.9875,Soufrière,13.8585,-61.0550,Gros Islet,14.0701,-60.9530,Marigot Bay,13.9571,-61.0200,Anse La Raye,13.9385,-61.0410,Vieux Fort,13.7206,-60.9510,Micoud,13.8151,-60.9003,Dennery,13.9427,-60.8956,Canaries,13.9107,-61.0730,Laborie,13.7428,-60.9922
Saint Vincent and the Grenadines,Kingstown,13.1607,-61.2248,Georgetown,13.2573,-61.1147,Barrouallie,13.2298,-61.2730,Chateaubelair,13.2876,-61.2504,Port Elizabeth,13.0093,-61.2417,Bequia,13.0076,-61.2406,Calliaqua,13.1261,-61.1883,Arnos Vale,13.1441,-61.2076,Union Island,12.5875,-61.4078,Botanical Gardens,13.1599,-61.2253
Samoa,Apia,-13.8507,-171.7514,Vaitele,-13.8274,-171.7946,Siusega,-13.8274,-171.8073,Fasito'o Uta,-13.8139,-171.9673,Solosolo,-13.8537,-171.5818,Afega,-13.7978,-171.8611,Lotopa,-13.8422,-171.7746,Leulumoega,-13.8008,-171.9442,Saleimoa,-13.8304,-171.8355,Lepea,-13.8239,-171.7850
San Marino,San Marino,43.9333,12.4500,Serravalle,43.9694,12.4814,Borgo Maggiore,43.9456,12.4476,Dogana,43.9740,12.4885,Acquaviva,43.9452,12.4233,Fiorentino,43.9186,12.4583,Chiesanuova,43.9090,12.4222,Faetano,43.9214,12.4853,Falciano,43.9584,12.4820,Montegiardino,43.9050,12.4645
Sao Tome and Principe,São Tomé,0.3365,6.7273,Trindade,0.2986,6.6547,Santo Amaro,0.2727,6.6483,Santana,0.2740,6.7550,Neves,0.3780,6.6124,Guadalupe,0.3864,6.6423,Santa Cruz,0.3804,6.6882,Pantufo,0.2928,6.7478,São João dos Angolares,0.1487,6.5733,Santo António,1.6382,7.4195
Saudi Arabia,Riyadh,24.7136,46.6753,Jeddah,21.4858,39.1925,Mecca,21.4225,39.8262,Medina,24.5247,39.5692,Dammam,26.4207,50.0888,Khobar,26.2172,50.1971,Tabuk,28.3838,36.5549,Abha,18.2465,42.5117,Khamis Mushait,18.3094,42.7429,Al Hofuf,25.3646,49.5873
Senegal,Dakar,14.7167,-17.4677,Thiès,14.7924,-16.9225,Kaolack,14.1487,-16.0758,Ziguinchor,12.5781,-16.2719,Touba,14.8575,-15.8815,Diourbel,14.6630,-16.2310,Saint-Louis,16.0179,-16.4896,Tambacounda,13.7686,-13.6673,Kolda,12.8937,-14.9411,Mbour,14.4296,-16.9664
Serbia,Belgrado,44.7872,20.4573,Novi Sad,45.2671,19.8335,Niš,43.3209,21.8958,Kragujevac,44.0128,20.9116,Subotica,46.1001,19.6659,Leskovac,43.0040,21.9460,Zrenjanin,45.3770,20.3864,Pancevo,44.8733,20.6455,Cacak,43.8914,20.3497,Novi Pazar,43.1367,20.5120
Seychelles,Victoria,-4.6191,55.4513,Anse Boileau,-4.7228,55.4790,Beau Vallon,-4.6200,55.4328,Anse Royale,-4.7353,55.5146,Takamaka,-4.7741,55.5090,Praslin,-4.3204,55.7381,La Digue,-4.3583,55.8303,Anse Aux Pins,-4.6762,55.5110,Baie Lazare,-4.7139,55.5046,Port Glaud,-4.6726,55.4217
Sierra Leone,Freetown,8.4657,-13.2317,Bo,7.9631,-11.7381,Koidu,8.6442,-10.9705,Kenema,7.8753,-11.1871,Makeni,8.8800,-12.0442,Lunsar,8.6841,-12.5348,Port Loko,8.7660,-12.7853,Wellington,8.3279,-13.0794,Pendembu,8.0991,-10.6998,Bonthe,7.5265,-12.5050
Singapore,Singapur,1.3521,103.8198,Ang Mo Kio,1.3691,103.8454,Bedok,1.3236,103.9274,Bukit Batok,1.3561,103.7540,Bishan,1.3483,103.8492,Changi,1.3644,103.9915,Choa Chu Kang,1.3854,103.7448,Clementi,1.3151,103.7642,Geylang,1.3200,103.8930,Hougang,1.3615,103.8860
Slovakia,Bratislava,48.1486,17.1077,Košice,48.7164,21.2611,Prešov,48.9980,21.2338,Žilina,49.2254,18.7386,Nitra,48.3064,18.0754,Banská Bystrica,48.7363,19.1461,Trnava,48.3770,17.5887,Martin,49.0633,18.9261,Trenčín,48.8945,18.0440,Poprad,49.0610,20.2975
Slovenia,Ljubljana,46.0569,14.5058,Maribor,46.5547,15.6459,Celje,46.2309,15.2604,Kranj,46.2388,14.3556,Koper,45.5469,13.7292,Ptuj,46.4216,15.8699,Trbovlje,46.1534,15.0525,Nova Gorica,45.9560,13.6493,Velenje,46.3585,15.1095,Novo Mesto,45.8039,15.1689
Solomon Islands,Honiara,-9.4456,159.9729,Gizo,-8.0974,156.8419,Auki,-8.7664,160.6997,Munda,-8.3272,157.2635,Tulaghi,-9.1073,160.1525,Buala,-8.1462,159.5923,Kirakira,-10.4492,161.9205,Lata,-10.7303,165.8142,Taro Island,-6.7107,156.3961,Tigoa,-9.3776,161.2754
Somalia,Mogadiscio,2.0469,45.3182,Hargeisa,9.5624,44.0776,Bosaso,11.2743,49.1798,Galkayo,6.7742,47.4319,Kismayo,-0.3582,42.5454,Baidoa,3.1138,43.6493,Burao,9.5221,45.5322,Merca,1.7140,44.7711,Jowhar,2.7768,45.5005,Beledweyne,4.7350,45.2036
